date,product_id,units_sold,unit_price,stock_on_hand,reorder_point,is_promotion,discount_pct,month,supplier_lead_days,lag_7,lag_14,rolling_mean_7,rolling_mean_30,rolling_std_7,rolling_std_30,day,quarter,is_weekend,product_category_Beauty,product_category_Electronics,product_category_Home,product_category_Sports,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6
2022-01-04,P008,27,1984.38,86,20,0,0.0,1,10,8.0,17.0,24.0,24.5,5.066228051190229,9.268969365762747,4,1,0,True,False,False,False,True,False,False,False,False,False
2022-01-04,P006,18,10331.62,87,79,0,0.0,1,13,31.0,17.0,22.142857142857142,23.566666666666666,4.413183712037207,8.39820725259095,4,1,0,False,True,False,False,True,False,False,False,False,False
2022-01-04,P045,15,16276.81,33,21,0,0.0,1,13,29.0,19.0,20.142857142857142,23.1,3.9339789623472123,8.474505376675992,4,1,0,False,True,False,False,True,False,False,False,False,False
2022-01-04,P042,17,1192.93,32,31,0,0.0,1,8,21.0,28.0,19.571428571428573,23.133333333333333,4.076646614442755,8.447539259466621,4,1,0,False,False,False,False,True,False,False,False,False,False
2022-01-04,P015,15,12489.18,140,52,0,0.0,1,8,17.0,28.0,19.285714285714285,22.3,4.3479606604432215,7.944418990929938,4,1,0,False,True,False,False,True,False,False,False,False,False
2022-01-04,P037,19,5785.14,50,46,0,0.0,1,10,22.0,9.0,18.857142857142858,22.366666666666667,4.180453381654964,7.906711829453693,4,1,0,False,True,False,False,True,False,False,False,False,False
2022-01-04,P001,15,23742.12,104,45,0,0.0,1,13,21.0,23.0,18.0,21.666666666666668,4.281744192888367,7.580980435789032,4,1,0,False,True,False,False,True,False,False,False,False,False
2022-01-05,P007,6,14723.22,86,60,0,0.0,1,14,27.0,8.0,15.0,21.233333333333334,4.2817441928883575,8.09292297620894,5,1,0,False,True,False,False,False,True,False,False,False,False
2022-01-05,P034,18,2464.97,217,52,0,0.0,1,2,18.0,31.0,15.0,21.133333333333333,4.2817441928883575,8.114411756924806,5,1,0,False,False,False,True,False,True,False,False,False,False
2022-01-05,P041,10,18649.69,156,68,0,0.0,1,2,15.0,29.0,14.285714285714286,21.0,4.680252333449738,8.267093055373628,5,1,0,False,True,False,False,False,True,False,False,False,False
2022-01-05,P024,10,2685.45,136,58,0,0.0,1,2,17.0,21.0,13.285714285714286,20.266666666666666,4.750939756661661,8.233377541879541,5,1,0,False,True,False,False,False,True,False,False,False,False
2022-01-05,P029,24,1289.89,99,41,0,0.0,1,13,15.0,17.0,14.571428571428571,19.766666666666666,6.267831705280074,7.477245174681569,5,1,0,False,False,False,False,False,True,False,False,False,False
2022-01-05,P027,14,11382.7,72,62,0,0.0,1,14,19.0,22.0,13.857142857142858,19.666666666666668,5.956189257922408,7.535357270587922,5,1,0,False,True,False,False,False,True,False,False,False,False
2022-01-06,P050,15,19212.95,105,78,0,0.0,1,2,15.0,21.0,13.857142857142858,18.9,5.956189257922408,6.733088649247138,6,1,0,False,True,False,False,False,False,True,False,False,False
2022-01-06,P020,17,19969.7,54,45,0,0.0,1,8,6.0,27.0,15.428571428571429,18.566666666666666,4.894116973712501,6.563658217442637,6,1,0,False,True,False,False,False,False,True,False,False,False
2022-01-06,P036,34,995.25,56,22,0,0.0,1,8,18.0,18.0,17.714285714285715,18.8,8.61615315776682,6.984712370352246,6,1,0,True,False,False,False,False,False,True,False,False,False
